Age,Salary,Education_Level,Years_of_Experience,Department,Location
25,87646,Master,38,Engineering,Austin
65,95017,High School,23,Finance,New York
62,88037,Bachelor,10,Finance,Austin
18,114818,High School,28,Sales,Chicago
39,31548,High School,25,Engineering,Austin
69,98294,Bachelor,15,Engineering,Chicago
34,48177,Master,34,HR,San Francisco
24,49022,High School,19,HR,San Francisco
42,30542,High School,2,Sales,Los Angeles
62,116012,High School,0,Marketing,Chicago
21,85428,High School,0,Marketing,San Francisco
53,47740,Bachelor,16,Marketing,Austin
23,84353,Bachelor,1,Engineering,New York
48,115353,PhD,28,Engineering,New York
36,81532,PhD,19,Finance,Chicago
61,41052,High School,5,Engineering,Los Angeles
56,72076,Master,7,Engineering,Austin
44,78420,High School,28,Engineering,Chicago
27,25671,Master,32,Sales,New York
43,25163,High School,2,Engineering,Chicago
36,66424,PhD,34,HR,Austin
56,78744,PhD,4,HR,San Francisco
20,95331,Master,26,Finance,Austin
62,35634,High School,11,Sales,San Francisco
30,29798,Master,19,HR,San Francisco
67,47420,PhD,19,Sales,San Francisco
45,54300,High School,8,Sales,Chicago
37,114881,High School,38,Finance,New York
45,35749,Master,3,Sales,Chicago
25,50121,Bachelor,18,Engineering,New York
58,62487,Master,37,Sales,Austin
56,118947,PhD,26,Finance,Los Angeles
18,58361,PhD,12,Finance,Austin
20,46223,PhD,12,Finance,Chicago
30,97930,PhD,21,HR,Chicago
45,39056,PhD,27,Engineering,New York
66,53380,Bachelor,21,HR,Chicago
42,51035,High School,18,Marketing,San Francisco
50,55620,Master,7,Engineering,Chicago
55,44877,Master,7,Sales,New York
23,80316,PhD,25,Finance,New York
61,89041,Master,25,Marketing,San Francisco
62,78352,PhD,22,Engineering,New York
49,55911,Bachelor,12,HR,Los Angeles
62,57784,Bachelor,27,Finance,Austin
64,28191,High School,8,HR,Chicago
38,58160,Bachelor,19,Engineering,Los Angeles
33,115536,Bachelor,18,Engineering,Chicago
38,89641,High School,38,Marketing,Los Angeles
28,74723,Master,11,Sales,Chicago
54,28631,PhD,14,HR,San Francisco
53,31172,PhD,30,Marketing,New York
52,67080,Master,13,Finance,New York
36,114097,High School,10,Sales,San Francisco
37,115353,Master,25,Marketing,Los Angeles
35,45281,Bachelor,26,HR,Austin
64,53671,High School,10,Engineering,Los Angeles
58,76431,High School,37,Finance,New York
66,115900,High School,33,HR,Austin
31,117961,PhD,18,Sales,Chicago
32,53602,Master,5,Sales,Austin
48,113789,High School,37,Engineering,Los Angeles
18,76399,High School,27,Engineering,San Francisco
20,48472,High School,0,Finance,Chicago
33,74230,Master,34,Finance,Los Angeles
40,98616,PhD,39,Engineering,Chicago
28,32099,Bachelor,7,Engineering,Austin
29,50431,PhD,6,Sales,New York
27,81492,High School,10,Engineering,Los Angeles
49,72684,PhD,38,Marketing,San Francisco
33,55111,PhD,3,HR,Austin
25,88936,Bachelor,24,Engineering,Los Angeles
55,47614,Master,11,Finance,San Francisco
29,117260,Master,25,Marketing,Los Angeles
41,66991,PhD,37,Finance,Austin
45,95476,PhD,11,Marketing,Los Angeles
25,85920,Master,36,Engineering,Chicago
45,119294,Master,23,HR,Austin
53,88530,Bachelor,15,Finance,Los Angeles
43,61224,High School,12,Marketing,New York
25,32788,PhD,24,Sales,Los Angeles
67,53082,Master,3,Engineering,Chicago
45,114570,PhD,10,HR,San Francisco
45,101816,PhD,31,Engineering,San Francisco
54,108588,Master,6,Sales,San Francisco
58,41531,Bachelor,10,HR,New York
53,113340,PhD,27,Sales,Chicago
44,119439,Bachelor,22,Engineering,Austin
34,69857,Master,22,Marketing,San Francisco
26,35142,High School,27,Engineering,Chicago
50,73355,High School,25,Engineering,Los Angeles
37,34866,PhD,24,Engineering,New York
30,95067,Master,28,Finance,Chicago
45,89027,Bachelor,18,Sales,Chicago
65,82906,PhD,32,Sales,Austin
46,53138,Master,35,Sales,Chicago
30,117601,Master,13,Finance,Austin
63,54956,Bachelor,13,Marketing,New York
52,101295,PhD,34,Engineering,New York
23,30439,Master,29,Marketing,Los Angeles
35,72241,Master,27,Finance,Austin
68,67533,Master,16,Sales,Austin
22,53270,Bachelor,2,Engineering,San Francisco
64,103815,PhD,15,HR,San Francisco
42,64279,PhD,29,HR,Los Angeles
19,48888,PhD,28,Marketing,New York
27,42630,PhD,14,Sales,San Francisco
47,86063,High School,24,HR,Chicago
67,60144,High School,37,Marketing,New York
62,77161,PhD,37,Finance,Chicago
22,116074,Bachelor,22,Marketing,Austin
50,102360,High School,24,Marketing,New York
18,75979,Master,6,Marketing,Los Angeles
35,31979,High School,21,Engineering,Austin
49,51189,Master,16,Marketing,Austin
64,67600,PhD,17,Marketing,Chicago
66,84560,High School,9,Engineering,Austin
28,103040,Bachelor,9,Engineering,San Francisco
38,86558,High School,6,Finance,New York
43,111205,High School,37,Sales,San Francisco
42,31910,High School,26,HR,Chicago
39,82713,PhD,32,HR,Chicago
44,71857,Bachelor,0,Marketing,New York
66,59964,High School,33,Finance,Austin
30,110667,Bachelor,3,Marketing,Los Angeles
50,50227,PhD,16,HR,Chicago
51,30978,Master,3,Engineering,New York
58,112527,High School,25,Sales,Los Angeles
52,42153,Bachelor,3,Finance,Austin
18,84765,Bachelor,0,Engineering,Chicago
38,64071,PhD,6,Sales,New York
65,94519,High School,29,Finance,New York
23,34503,Master,8,Finance,New York
45,85703,Bachelor,34,HR,Chicago
34,89379,High School,7,Engineering,Los Angeles
22,82866,Master,23,Finance,New York
48,41905,Bachelor,18,Finance,Austin
22,70838,Bachelor,35,Sales,New York
55,83279,Master,26,HR,Los Angeles
20,114489,Master,31,Marketing,Chicago
40,51806,PhD,13,HR,New York
54,70000,High School,17,Marketing,New York
54,47168,High School,27,Engineering,Austin
27,95119,PhD,28,Engineering,Austin
27,63714,Bachelor,15,Finance,New York
36,79093,Master,34,Engineering,New York
34,80419,Master,30,Finance,Austin
38,74145,Master,3,HR,Los Angeles
31,102425,Bachelor,36,Engineering,San Francisco
26,117949,Master,16,HR,San Francisco
63,102811,Master,38,HR,New York
18,27461,PhD,25,Engineering,Austin
68,39291,Bachelor,38,HR,Chicago
62,71804,High School,3,Engineering,Chicago
30,101971,PhD,29,Engineering,San Francisco
21,118471,PhD,29,Engineering,Los Angeles
18,89946,High School,21,Marketing,San Francisco
66,109080,PhD,10,HR,New York
57,86332,Bachelor,1,Sales,Los Angeles
49,102794,Master,11,Engineering,Chicago
51,55841,Bachelor,29,HR,Austin
45,73758,High School,35,Finance,Austin
48,101272,High School,17,Engineering,New York
25,62643,PhD,25,Engineering,San Francisco
56,75408,Bachelor,6,Sales,New York
43,68950,Bachelor,0,Marketing,Austin
51,81849,High School,25,Marketing,Chicago
20,53044,Bachelor,22,Engineering,Austin
67,40997,High School,25,HR,Los Angeles
29,104751,Bachelor,5,Finance,Austin
18,48911,Bachelor,5,Finance,Austin
61,80533,Bachelor,7,HR,Los Angeles
22,107566,High School,23,Engineering,San Francisco
47,119870,PhD,21,Finance,Austin
47,39571,Bachelor,18,Marketing,New York
34,119463,High School,36,HR,Austin
65,82941,High School,17,Sales,New York
64,83005,Bachelor,30,Engineering,Los Angeles
40,111250,Bachelor,36,HR,Austin
32,83712,PhD,29,Finance,Los Angeles
54,68541,High School,32,Engineering,Los Angeles
38,48387,High School,9,Marketing,San Francisco
31,118980,Master,36,Engineering,Austin
19,73908,High School,11,Engineering,New York
28,110457,PhD,29,Marketing,New York
68,38057,Master,26,Marketing,Austin
56,89028,Master,38,Engineering,San Francisco
55,80731,Master,8,Marketing,San Francisco
51,49858,Bachelor,20,HR,San Francisco
55,73689,Bachelor,11,Marketing,New York
67,69638,High School,28,Marketing,Los Angeles
51,116598,Master,32,Engineering,San Francisco
35,71486,PhD,14,HR,New York
47,45567,Bachelor,1,Sales,New York
32,54739,PhD,38,Sales,Los Angeles
44,82804,PhD,17,Finance,Austin
68,28754,Bachelor,2,Marketing,Austin
51,52044,Bachelor,6,Marketing,San Francisco
69,92260,Bachelor,17,HR,San Francisco
55,91912,Bachelor,37,Sales,Los Angeles
50,33706,Master,36,Finance,San Francisco
41,33894,Master,32,HR,Los Angeles
32,43037,Master,30,Marketing,New York
47,108986,Master,10,Sales,San Francisco
59,106942,High School,3,Finance,New York
68,76612,Master,17,Engineering,Chicago
34,54725,Bachelor,3,Sales,Los Angeles
22,30926,PhD,33,Finance,Chicago
46,34496,Master,28,HR,San Francisco
21,81447,High School,23,Engineering,New York
27,54806,Bachelor,21,Finance,San Francisco
34,113199,PhD,1,Finance,Chicago
27,66321,PhD,5,Marketing,San Francisco
34,90095,Master,24,Sales,Austin
37,47656,PhD,20,Marketing,Chicago
41,80147,Master,15,Engineering,San Francisco
22,116396,Master,30,Finance,New York
51,74666,Bachelor,13,Marketing,San Francisco
23,107368,Bachelor,38,Sales,New York
19,63787,High School,27,Engineering,Austin
30,87946,Bachelor,31,HR,San Francisco
60,46727,Bachelor,27,Marketing,Austin
60,93056,Master,8,Engineering,Chicago
65,28081,Bachelor,21,HR,New York
28,59196,Master,31,Marketing,Chicago
68,61735,Master,4,Engineering,New York
64,105102,Bachelor,22,Engineering,Austin
40,104578,High School,4,Marketing,Los Angeles
33,50498,High School,31,Engineering,San Francisco
48,101865,PhD,9,Finance,Austin
28,56656,PhD,38,Marketing,New York
33,92695,Bachelor,14,Engineering,New York
25,62900,High School,6,HR,New York
21,109899,Master,28,HR,New York
57,72701,PhD,2,Finance,San Francisco
21,44033,Master,18,Marketing,Chicago
42,35805,PhD,9,Engineering,Los Angeles
20,60851,Bachelor,27,Engineering,San Francisco
49,51832,High School,28,HR,New York
20,88437,PhD,14,Finance,San Francisco
44,38944,High School,34,HR,Austin
46,44873,Master,5,HR,New York
49,65372,Bachelor,11,Finance,Los Angeles
67,114464,High School,37,Marketing,New York
68,40379,Bachelor,12,Engineering,Los Angeles
36,61751,High School,28,Marketing,Los Angeles
38,114822,Master,18,Sales,Chicago
22,30110,Master,2,Sales,Chicago
35,79341,Bachelor,7,Sales,San Francisco
45,37087,Master,7,Finance,San Francisco
59,48762,PhD,19,HR,Los Angeles
39,107617,High School,3,Marketing,New York
38,34596,Master,20,Engineering,Austin
23,43313,PhD,2,Sales,Austin
18,91549,Bachelor,7,Marketing,New York
22,48705,PhD,22,Sales,New York
58,92364,Bachelor,15,Sales,Chicago
29,98445,Bachelor,12,Engineering,Austin
43,103645,High School,2,Finance,Los Angeles
63,27023,High School,8,HR,San Francisco
51,84796,PhD,13,Finance,Chicago
66,105073,High School,12,Marketing,Austin
31,117197,High School,6,Finance,New York
43,89429,High School,14,Marketing,Austin
62,86627,PhD,6,Marketing,Los Angeles
44,58848,Master,37,HR,Chicago
26,62804,High School,33,Engineering,New York
43,40379,High School,21,HR,Los Angeles
64,84664,PhD,23,Finance,San Francisco
39,52766,Master,36,Marketing,Chicago
64,93099,High School,0,Sales,Los Angeles
47,61060,Bachelor,9,Sales,Los Angeles
60,119733,PhD,15,Marketing,New York
65,94122,High School,7,HR,San Francisco
34,41087,High School,24,Engineering,Los Angeles
43,73868,Bachelor,11,HR,Chicago
53,48225,Bachelor,24,Marketing,Los Angeles
18,31643,PhD,16,Marketing,Austin
25,118059,PhD,25,Engineering,Chicago
66,61727,Bachelor,13,Finance,Chicago
52,36005,PhD,35,Finance,Los Angeles
69,90697,Bachelor,22,Engineering,New York
32,41029,High School,5,Finance,Chicago
64,39226,Bachelor,4,Sales,Austin
39,88646,Bachelor,24,Finance,New York
31,85603,Master,17,Finance,New York
43,53731,Bachelor,12,Finance,New York
45,93926,Bachelor,13,Sales,Chicago
40,30997,Master,27,Finance,New York
31,80506,PhD,17,Sales,Los Angeles
41,103229,Master,27,Engineering,New York
19,74815,High School,26,HR,Austin
62,67092,Master,31,Engineering,San Francisco
43,87539,High School,8,HR,Austin
31,91077,PhD,39,Engineering,Chicago
68,46817,Master,31,HR,New York
24,62861,Master,19,HR,New York
20,38428,PhD,27,Marketing,Los Angeles
64,68934,High School,32,HR,New York
40,35258,Master,3,HR,Austin
63,82775,High School,33,Marketing,Chicago
60,106580,Master,2,Finance,San Francisco
64,119947,Bachelor,25,Finance,New York
62,30469,Master,7,Marketing,San Francisco
35,53854,PhD,5,Sales,New York
55,31256,PhD,15,HR,Chicago
52,101256,High School,23,HR,Austin
68,58937,Master,38,Marketing,Chicago
32,26651,High School,29,Marketing,San Francisco
42,75288,High School,12,Sales,New York
54,109730,Bachelor,4,Finance,San Francisco
45,50051,Bachelor,24,Engineering,Austin
27,52386,PhD,19,Finance,Chicago
56,100054,High School,17,HR,San Francisco
34,41184,PhD,17,Marketing,San Francisco
56,58787,Master,1,Sales,Austin
39,46621,High School,9,Finance,New York
43,100564,High School,11,Sales,San Francisco
61,102984,Master,12,Finance,Austin
42,84792,Master,10,HR,New York
34,70253,PhD,18,Engineering,New York
30,59051,PhD,34,Sales,Chicago
37,74811,Master,38,Sales,Austin
42,55447,PhD,25,Engineering,New York
21,108930,Master,13,Sales,Chicago
27,55254,High School,23,Sales,Los Angeles
20,109045,High School,0,Finance,Austin
58,82418,Bachelor,21,Finance,Los Angeles
62,39472,High School,22,Engineering,New York
35,28471,Master,18,HR,Austin
64,33329,PhD,17,Sales,Chicago
53,59865,Bachelor,11,HR,New York
64,71850,PhD,27,Engineering,Austin
39,79220,Master,27,Engineering,Austin
51,118808,High School,32,Finance,Los Angeles
64,31397,Bachelor,18,Sales,New York
25,60525,Master,27,Marketing,Chicago
57,78072,Bachelor,36,Engineering,Chicago
66,115106,Bachelor,25,Sales,New York
61,108820,High School,34,HR,New York
36,109530,Master,33,Finance,San Francisco
59,48284,PhD,34,HR,Los Angeles
58,86330,Bachelor,39,Engineering,New York
54,108369,Bachelor,15,Engineering,New York
23,50122,PhD,37,HR,San Francisco
69,95553,Master,12,Engineering,San Francisco
43,106906,Bachelor,22,Sales,Austin
51,119788,Bachelor,21,Engineering,Chicago
62,87812,Bachelor,15,Finance,Los Angeles
23,32999,Master,27,Sales,Austin
54,47436,Master,34,Marketing,New York
50,67963,PhD,7,Engineering,San Francisco
39,27096,Master,21,Engineering,Chicago
38,50279,Master,20,Finance,Austin
23,51201,High School,25,Finance,Chicago
23,44715,PhD,39,HR,San Francisco
65,54309,Bachelor,20,HR,Austin
21,40078,Master,24,HR,Austin
47,81614,Bachelor,0,Finance,Chicago
28,30105,Bachelor,5,HR,San Francisco
47,119848,High School,22,HR,New York
48,27839,Master,22,Marketing,Austin
41,93920,PhD,22,HR,New York
26,68619,Master,31,Engineering,San Francisco
20,67821,Bachelor,29,Finance,Austin
68,38493,PhD,12,Sales,Austin
48,42069,Master,17,Marketing,New York
57,32531,Bachelor,22,Finance,Los Angeles
54,62051,Bachelor,14,Finance,New York
53,32736,High School,32,Engineering,New York
41,32710,High School,20,HR,Los Angeles
48,92155,High School,38,Engineering,San Francisco
23,38975,Bachelor,22,HR,San Francisco
19,87424,Master,26,HR,Austin
37,70603,High School,17,Finance,Chicago
45,48252,Master,23,HR,Chicago
28,105797,High School,39,Marketing,Austin
21,26431,PhD,6,Marketing,Chicago
32,99603,PhD,19,Marketing,New York
23,62481,High School,26,Finance,New York
66,117573,Bachelor,5,Engineering,Los Angeles
47,34557,High School,26,Sales,Los Angeles
55,99971,High School,8,HR,Austin
68,25162,Bachelor,30,Sales,Austin
19,59742,PhD,20,Engineering,Austin
32,44675,Master,25,Engineering,New York
28,98997,High School,39,Finance,Chicago
25,42015,Bachelor,12,Marketing,Austin
43,75057,High School,22,Marketing,Austin
68,57591,Bachelor,19,Engineering,New York
62,118583,Master,36,Finance,New York
61,34833,Master,27,Finance,New York
22,32896,PhD,16,HR,Chicago
23,57972,Bachelor,27,Marketing,Austin
43,74733,Bachelor,1,Engineering,San Francisco
21,66800,PhD,24,Sales,San Francisco
36,30347,PhD,5,Marketing,Austin
37,84063,Bachelor,10,HR,Austin
50,27643,PhD,37,Finance,Austin
37,65785,Master,5,Engineering,Austin
66,43681,High School,10,Marketing,Chicago
29,75026,Master,13,Sales,San Francisco
64,40892,PhD,1,HR,Los Angeles
18,72299,Bachelor,39,HR,San Francisco
43,42073,Bachelor,2,Marketing,San Francisco
31,55682,Master,34,Sales,New York
55,39289,Bachelor,32,HR,Austin
54,32927,PhD,23,Engineering,Austin
28,73330,Master,18,HR,Austin
53,91707,Bachelor,17,Sales,New York
30,102454,High School,23,Finance,Chicago
60,90428,High School,34,Finance,Chicago
20,75601,PhD,0,Marketing,Los Angeles
50,102465,Bachelor,35,Sales,Chicago
23,27539,PhD,24,HR,Chicago
67,47669,Master,33,HR,Austin
27,95968,High School,24,Finance,San Francisco
22,45644,Master,15,Finance,Chicago
40,43745,Bachelor,33,Engineering,Chicago
27,53228,PhD,28,Finance,New York
61,59521,PhD,18,Engineering,Los Angeles
19,51928,PhD,22,HR,New York
30,43322,Master,18,Engineering,Austin
57,82714,High School,24,Engineering,San Francisco
19,112896,Master,15,Marketing,Los Angeles
37,87292,Master,8,Finance,New York
18,54055,Bachelor,0,Engineering,Chicago
54,67891,Bachelor,18,HR,Chicago
26,106912,Bachelor,32,Sales,Los Angeles
34,31588,High School,33,Engineering,Chicago
26,115536,High School,15,Finance,New York
28,31304,Bachelor,39,Marketing,New York
32,32345,Bachelor,17,HR,Chicago
41,54300,High School,33,Marketing,Chicago
55,49259,PhD,24,Sales,Austin
52,116006,High School,5,Engineering,San Francisco
47,113553,High School,20,Engineering,Los Angeles
48,40352,High School,5,Finance,New York
66,58365,Bachelor,31,Engineering,Los Angeles
22,44446,PhD,38,HR,Austin
61,27336,High School,30,Sales,New York
67,87032,Bachelor,9,Marketing,Austin
31,100415,Master,29,Sales,Austin
28,32521,Master,17,Engineering,Chicago
26,96707,High School,23,Marketing,Los Angeles
51,48481,Master,8,Finance,Los Angeles
29,43474,PhD,30,Sales,Chicago
52,71760,Master,14,Marketing,Los Angeles
52,80718,Master,3,Marketing,Chicago
18,69629,PhD,39,Marketing,New York
57,70232,High School,8,HR,Austin
39,111544,High School,8,Sales,Austin
46,92169,PhD,25,Marketing,Los Angeles
25,75669,PhD,3,Sales,San Francisco
28,103021,PhD,16,Marketing,Austin
58,94184,Master,15,Finance,Chicago
54,72945,PhD,14,Finance,San Francisco
31,38140,Bachelor,34,Finance,San Francisco
47,108457,Master,4,Engineering,Austin
52,39357,High School,4,Marketing,Austin
38,93673,High School,19,Engineering,Austin
54,90633,High School,14,Sales,Chicago
22,101943,Master,17,Engineering,San Francisco
36,103258,Bachelor,1,Sales,Los Angeles
31,37924,PhD,28,Sales,Chicago
43,94286,PhD,12,Sales,New York
21,118269,High School,3,Engineering,Austin
42,99071,High School,9,Marketing,San Francisco
62,82326,Master,30,Engineering,Chicago
59,115023,Bachelor,7,Marketing,New York
42,55651,PhD,2,Marketing,Chicago
35,95202,Master,8,Sales,Chicago
57,73777,PhD,29,Engineering,Los Angeles
25,41994,High School,10,Marketing,Los Angeles
56,92263,PhD,34,Finance,Chicago
57,84634,Bachelor,36,Marketing,New York
31,35800,Bachelor,12,Finance,San Francisco
49,62823,High School,35,Engineering,San Francisco
68,88878,Bachelor,12,Engineering,Austin
55,43708,Bachelor,11,Engineering,Austin
50,37819,Master,36,Marketing,San Francisco
40,99905,PhD,9,HR,Chicago
32,88870,High School,8,Marketing,Chicago
50,34283,High School,6,Marketing,Los Angeles
42,55573,High School,1,Sales,Los Angeles
34,103707,High School,22,Sales,Austin
50,55933,High School,38,Marketing,San Francisco
64,30774,Bachelor,39,Finance,Chicago
19,97055,Master,38,Sales,San Francisco
31,35983,High School,20,Marketing,New York
57,43133,Master,22,HR,San Francisco
57,39939,Master,28,Finance,New York
68,25781,Bachelor,13,Engineering,Los Angeles
56,81700,High School,25,Marketing,Los Angeles
68,52624,Bachelor,4,Marketing,Austin
23,31823,High School,30,Finance,San Francisco
23,43489,Bachelor,24,Sales,San Francisco
20,64961,Master,30,Sales,New York
24,54118,High School,19,Sales,Los Angeles
68,106816,PhD,16,Engineering,New York
25,47263,Master,1,Finance,Los Angeles
59,38565,PhD,24,Finance,New York
69,45354,Master,12,Sales,Los Angeles
32,67951,Bachelor,38,Sales,New York
64,116179,High School,27,HR,Los Angeles
46,48648,Master,5,HR,New York
50,75729,Bachelor,2,Marketing,San Francisco
69,66971,High School,34,Marketing,Austin
47,43658,High School,17,Finance,New York
56,46253,Master,10,Finance,Austin
44,89166,High School,19,Engineering,San Francisco
53,73563,Master,4,Engineering,San Francisco
46,51390,High School,18,HR,Los Angeles
55,113664,PhD,21,Marketing,Austin
50,76578,Bachelor,18,HR,Chicago
54,104025,PhD,15,HR,Los Angeles
44,57658,Master,23,Marketing,Austin
50,31852,PhD,3,Engineering,New York
21,119986,Master,14,Marketing,New York
39,27551,High School,24,Sales,San Francisco
19,96947,High School,34,Sales,Chicago
27,86001,Master,13,Sales,New York
22,74159,PhD,18,Finance,Austin
27,76707,High School,37,Engineering,Austin
50,58243,Bachelor,35,Engineering,New York
55,46800,High School,6,Finance,Austin
30,100939,Bachelor,29,HR,Austin
48,82828,PhD,18,Sales,San Francisco
64,32239,Bachelor,24,Sales,Chicago
53,31710,Bachelor,15,HR,San Francisco
62,46384,Bachelor,39,Marketing,Chicago
41,46038,Bachelor,7,Marketing,Austin
69,65846,High School,17,Engineering,Chicago
32,112983,Bachelor,27,Finance,Austin
46,92821,High School,15,Engineering,Austin
25,62991,Bachelor,18,Marketing,San Francisco
22,104057,Master,16,HR,San Francisco
46,31971,PhD,12,Engineering,Los Angeles
64,54139,Bachelor,6,Sales,New York
21,110445,Master,26,Sales,Los Angeles
29,102067,Bachelor,9,HR,Los Angeles
62,105257,Bachelor,33,Marketing,Chicago
19,109742,Bachelor,35,Sales,Austin
44,62711,Master,24,Sales,Austin
48,31530,PhD,5,Finance,Austin
68,36116,Master,23,Engineering,New York
68,90794,PhD,17,Marketing,Chicago
53,25282,Bachelor,22,Engineering,Chicago
53,104473,High School,5,Marketing,Austin
43,26898,Bachelor,28,Sales,Los Angeles
60,29135,PhD,24,Finance,New York
44,31629,Master,16,Engineering,Los Angeles
22,110120,Bachelor,23,Sales,San Francisco
37,114087,Master,10,Marketing,Chicago
28,90031,Master,25,Engineering,Chicago
27,58380,Master,33,Engineering,Los Angeles
57,42071,Bachelor,27,Sales,New York
55,45074,Master,2,Engineering,Chicago
23,115724,Master,10,Finance,Los Angeles
25,92843,Bachelor,37,Finance,New York
40,64901,Master,13,Sales,Los Angeles
64,36205,Bachelor,25,Marketing,New York
43,80661,PhD,20,Sales,Austin
63,30906,PhD,38,Finance,New York
60,27591,PhD,29,HR,San Francisco
29,87987,Master,7,HR,Austin
43,88370,High School,19,Engineering,Los Angeles
30,105685,High School,31,Engineering,Austin
57,79400,Master,21,HR,Austin
35,50150,High School,6,Finance,Los Angeles
42,56852,Bachelor,8,Engineering,Los Angeles
50,67870,High School,0,Sales,San Francisco
64,77756,Master,28,Sales,Los Angeles
57,81481,Master,7,Finance,Chicago
60,26283,Bachelor,3,Engineering,Chicago
29,58691,PhD,34,Sales,San Francisco
61,26125,Master,2,Engineering,New York
53,92065,Bachelor,39,Engineering,New York
65,51170,High School,6,Sales,Chicago
21,33438,High School,26,HR,Los Angeles
22,45095,Bachelor,0,Sales,San Francisco
54,41154,Bachelor,26,Finance,New York
25,33004,Master,15,Marketing,New York
59,34752,High School,37,Sales,Austin
66,80426,Bachelor,6,Engineering,Chicago
45,51819,High School,22,Engineering,Los Angeles
48,117051,Bachelor,10,Sales,San Francisco
26,49217,High School,32,Marketing,New York
68,113708,PhD,35,Sales,Austin
46,57994,Master,36,Marketing,Chicago
31,40036,High School,16,Marketing,Chicago
57,102275,PhD,34,Finance,San Francisco
58,74416,High School,4,Engineering,New York
39,34587,High School,31,Engineering,San Francisco
28,25645,PhD,2,Marketing,San Francisco
40,55930,High School,34,Engineering,Austin
18,106835,High School,13,HR,Chicago
63,55090,Master,30,Marketing,Los Angeles
54,112489,PhD,30,Engineering,Chicago
38,77142,PhD,16,HR,Chicago
43,51475,Bachelor,23,Finance,Austin
63,43888,High School,22,Engineering,Los Angeles
53,68732,Master,17,HR,New York
40,106623,High School,13,Sales,Los Angeles
18,71305,High School,14,Sales,New York
68,71037,Bachelor,14,HR,Los Angeles
57,34346,High School,5,Marketing,San Francisco
32,25587,Master,26,Marketing,Los Angeles
38,37763,Master,14,Engineering,Austin
64,84165,Bachelor,35,Sales,New York
26,94615,High School,7,Marketing,Chicago
26,61116,Master,14,Marketing,Austin
27,110751,High School,2,Sales,New York
69,116353,High School,12,Finance,New York
43,115301,High School,33,Marketing,Chicago
58,50556,Bachelor,23,HR,San Francisco
52,84042,High School,39,Engineering,Austin
69,43099,Master,31,Marketing,Chicago
42,70096,High School,31,Marketing,Chicago
43,96986,Master,29,Finance,San Francisco
28,38230,High School,12,HR,Austin
55,54009,Master,0,Engineering,Chicago
19,95969,Master,33,Marketing,San Francisco
24,58866,High School,14,Engineering,Austin
35,109246,High School,13,Sales,Los Angeles
44,101975,Master,28,Marketing,New York
51,66855,PhD,33,Marketing,San Francisco
44,106557,Bachelor,17,Sales,New York
34,31416,PhD,6,Finance,Los Angeles
60,97516,PhD,28,Marketing,Chicago
61,80915,High School,30,Engineering,Chicago
68,43058,Bachelor,24,HR,Austin
41,101637,PhD,37,Engineering,San Francisco
42,65718,High School,13,Finance,San Francisco
24,57602,PhD,7,HR,Austin
69,99658,PhD,26,Engineering,New York
23,103112,High School,1,Engineering,Chicago
41,83067,High School,16,Sales,Chicago
50,52516,High School,36,Finance,San Francisco
66,112969,Bachelor,13,Sales,San Francisco
46,26089,PhD,24,HR,Austin
60,62346,High School,29,Sales,Los Angeles
39,99663,Master,28,Finance,New York
43,35487,PhD,19,Marketing,Los Angeles
45,25155,Master,20,Marketing,Los Angeles
67,92494,Bachelor,21,HR,San Francisco
38,101229,High School,34,Marketing,San Francisco
66,63547,Master,36,Sales,San Francisco
24,53795,Bachelor,15,HR,Los Angeles
34,80296,High School,16,Finance,New York
37,46447,Master,15,HR,San Francisco
58,61598,Master,1,HR,Chicago
66,66814,Bachelor,3,Engineering,New York
37,115751,High School,20,Engineering,Chicago
39,100330,High School,38,HR,New York
45,112960,Master,33,Marketing,San Francisco
57,88278,Master,29,Engineering,Austin
66,80077,Master,5,Finance,San Francisco
24,96906,High School,16,Sales,Los Angeles
18,34528,Bachelor,38,Engineering,Los Angeles
49,118812,Bachelor,24,HR,New York
30,75100,High School,4,Marketing,Los Angeles
47,33179,PhD,4,Sales,San Francisco
40,73781,Bachelor,19,Engineering,Chicago
68,80267,Master,15,Marketing,San Francisco
36,107379,PhD,36,Marketing,New York
49,48952,PhD,39,Marketing,Los Angeles
47,78798,Bachelor,8,HR,Chicago
46,75939,PhD,4,Finance,Austin
66,54516,PhD,1,Marketing,Chicago
62,81526,Bachelor,8,Sales,Chicago
46,35449,Bachelor,35,Engineering,San Francisco
47,75290,PhD,21,Sales,Austin
33,111661,Master,21,HR,New York
57,97954,High School,21,HR,New York
36,47746,PhD,33,Sales,Chicago
35,92990,PhD,28,Finance,Chicago
18,83810,Master,37,HR,Los Angeles
31,108297,PhD,32,HR,Austin
68,40223,PhD,17,Sales,Chicago
64,97237,High School,6,HR,Los Angeles
67,27597,High School,0,Finance,Austin
19,90677,High School,32,Finance,New York
45,27659,Bachelor,0,Finance,Los Angeles
66,111516,Bachelor,23,Engineering,Austin
67,99567,High School,3,Finance,Los Angeles
47,40037,High School,3,Finance,Chicago
55,71738,Bachelor,17,Engineering,San Francisco
68,96678,Master,26,Marketing,New York
21,37109,PhD,31,HR,Chicago
18,47010,PhD,32,Finance,Chicago
25,33787,High School,27,HR,Austin
46,33472,Master,35,Sales,Los Angeles
56,48383,Bachelor,5,HR,New York
20,86709,High School,15,Engineering,Chicago
